,title,artist
0,Unholy,Sam Smith & Kim Petras
1,I'm Good (Blue),David Guetta & Bebe Rexha
2,Thank God,Kane Brown & Katelyn Brown
3,wait in the truck,HARDY & Lainey Wilson
4,Everywhere,Fleetwood Mac
5,Son Of A Sinner,Jelly Roll
6,A Thousand Years,Christina Perri
7,You Proof,Morgan Wallen
8,Unstoppable,Sia
9,I Ain't Worried,OneRepublic
10,Left and Right,Charlie Puth & Jung Kook
11,CUFF IT,Beyoncé
12,Wasted On You,Morgan Wallen
13,She Had Me At Heads Carolina,Cole Swindell
14,Fall In Love,Bailey Zimmerman
15,Under the Influence,Chris Brown
16,The Kind of Love We Make,Luke Combs
17,Lose Yourself,Eminem
18,Life Is a Highway,Rascal Flatts
19,As It Was,Harry Styles
20,Shivers,Ed Sheeran
21,Make It With You,Bread
22,Shallow,Lady Gaga & Bradley Cooper
23,Super Freaky Girl,Nicki Minaj
24,Celestial,Ed Sheeran
25,Fingers Crossed,Lauren Spencer Smith
26,Love Me Like You Do,Ellie Goulding
27,About Damn Time,Lizzo
28,Sunroof,Nicky Youre & Dazy
29,Eagle (feat. KB),Transformation Worship
30,KICK BACK,Kenshi Yonezu
31,Victoria’s Secret,Jax
32,Hold Me Closer,Elton John & Britney Spears
33,I Like You (A Happier Song) [feat. Doja Cat],Post Malone
34,the mockingbird & THE CROW,HARDY
35,Rock and a Hard Place,Bailey Zimmerman
36,Bust Your Windows,Jazmine Sullivan
37,Something in the Orange (Z&E's Version),Zach Bryan
38,Earned It,The Weeknd
39,Poland,Lil Yachty
40,You'll Be In My Heart,Phil Collins
41,It Will Rain,Bruno Mars
42,Soul,Lee Brice
43,TRUCK BED,HARDY
44,Next Thing You Know,Jordan Davis
45,Somewhere Over the Rainbow,Israel Kamakawiwo'ole
46,What My World Spins Around,Jordan Davis
47,Tennessee Orange,Megan Moroney
48,This Is Halloween,The Citizens of Halloween
49,Something in the Orange,Zach Bryan
50,How Do I Say Goodbye,Dean Lewis
51,Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat
52,Bad Habit,Steve Lacy
53,2 Be Loved (Am I Ready),Lizzo
54,STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X
55,Always Remember Us This Way,Lady Gaga
56,Way of the Triune God (Hallelujah Version),Tyler Childers
57,Neon You,Don Louis
58,here lies country music,HARDY
59,Numb,Marshmello & Khalid
60,Never Leave,Bailey Zimmerman
61,Forever,"Drake, Kanye West, Lil Wayne & Eminem"
62,Bones,Imagine Dragons
63,Don’t Come Lookin’,Jackson Dean
64,Forget Me,Lewis Capaldi
65,Cold Heart (PNAU Remix),Elton John & Dua Lipa
66,Running Up That Hill (A Deal with God),Kate Bush
67,Joy of My Life,Chris Stapleton
68,All the Small Things,blink-182
69,'Til You Can't,Cody Johnson
70,Late Night Talking,Harry Styles
71,Tití Me Preguntó,Bad Bunny
72,World's Smallest Violin,AJR
73,Tennessee Whiskey,Chris Stapleton
74,Gangsta's Paradise (feat. L.V.),Coolio
75,"1,2,3 Eoi!",MAMAMOO
76,Monster Mash,"Bobby ""Boris"" Pickett & The Crypt-Kickers"
77,No Se Va (En Vivo),Grupo Frontera
78,down home,Jimmie Allen
79,Everything I Own,Bread
80,Half Of Me (feat. Riley Green),Thomas Rhett
81,I'm Good (Blue),David Guetta & Bebe Rexha
82,CUFF IT,Beyoncé
83,Starved,Zach Bryan
84,No Body,Blake Shelton
85,Enough,charlieonnafriday
86,Perfectly Loved (feat. TobyMac),Rachael Lampa
87,Build a Boat,Colton Dixon
88,golden hour,JVKE
89,Baby I'm-A Want You,Bread
90,She Likes It (feat. Jake Scott),Russell Dickerson & Jake Scott
91,Hold My Hand,Lady Gaga
92,5 Foot 9,Tyler Hubbard
93,How Far I'll Go,Auli'i Cravalho
94,Love Me Like I Am,for KING & COUNTRY & Jordin Sparks
95,"Boulevard of Broken Dreams (feat. John Gallagher Jr., Rebecca Naomi Jones, Stark Sands & Company)",Green Day
96,Betty (Get Money),Yung Gravy
97,Boom Clap,Charli XCX
98,One Way or Another (Hocus Pocus 2 Version),"Bette Midler, Sarah Jessica Parker & Kathy Najimy"
99,If,Bread
